card_id,korean,vietnamese
"1","에아건","máy lạnh"
"2","책","sách"
"3","우리","chúng ta/chúng tôi"
"4","시계","đồng hồ"
"5","계란","quả trứng"
"6","자다","ngủ"
"7","공부하다","học (chung chung)"
"8","일하다","làm việc"
"9","운동하다","tập thể dục"
"10","숙제를 하다","làm bài tập"
"11","옷을 사다","mua đồ"
"12","친구를 만나다","gặp bạn"
"13","태권도를 배우다","học taekwondo"
"14","밥을 먹다","ăn cơm"
"15","커피를 마시다","uống cafe"
"16","책을 읽다","đọc sách"
"17","영화를 보다","xem phim"
"18","여러분","mọi người"
"19","직업","nghề nghiệp"
"20","무엇","cái gì, gì"
"21","이름","tên"
"22","전화번호","số điện thoại"
"23","직업은 무엇이에요?","Nghề nghiệp là gì?"
"24","명함","danh thiếp"
"25","국적","quốc tịch"
"26","독일","Đức"
"27","중국","Trung Quốc"
"28","캐나다","Canada"
"29","미국","Mỹ"
"30","프랑스","Pháp"
"31","인도","Ấn Độ"
"32","일본","Nhật"
"33","호주","Úc"
"34","파키스탄","Pakistan"
"35","가수","ca sĩ"
"36","교인","giáo nhân"
"37","기자","ký giả"
"38","주부","nội trợ"
"39","요리사","đầu bếp"
"40","의사","bác sĩ"
"41","학생","học sinh"
"42","N입니다","Là N (kính ngữ người nghe)"
"43","만나서 반갑습니다","Rất vui được gặp bạn"
"44","안녕하십니까?","Bạn khỏe không?"
"45","영어","Tiếng Anh"
"46","지금","bây giờ"
"47","오늘","hôm nay"
"48","하다","làm"
"49","쉬다","nghỉ ngơi"
"50","아르바이트 하다","làm thêm (part-time)"
"51","피자","pizza"
"52","요리","món ăn, nấu ăn"
"53","한국어를 공부해요","học tiếng Hàn"
"54","책상","cái bàn"
"55","볼펜","bút bi"
"56","시계","đồng hồ"
"57","사전","từ điển"
"58","연필","bút chì"
"59","모자","cái nón"
"60","안경","mắt kính"
"61","자방","cái cặp"
"62","우산","cây dù"
"63","휴대폰","điện thoại"
"64","지우개","cục tẩy"
"65","카메라","máy chụp ảnh"
"66","차","xe ô tô/tàu"
"67","친구","bạn bè"
"68","남자","con trai"
"69","여자","con gái"
"70","여자 친구","bạn gái"
"71","동전","đồng xu"
"72","신문","tờ báo"
"73","자","cây thước"
"74","N이/가 있어요","có"
"75","N이/가 없어요","không có"
"76","이거","cái này (gần người nói)"
"77","그거","cái đó (xa người nói, gần người nghe)"
"78","저거","cái kia (xa người nói và người nghe)"
"79","창문","cửa sổ"
"80","지도","bản đồ"
"81","필통","hộp bút"
"82","전자사전","từ điển điện tử"
"83","무엇","cái gì"
"84","잡지","tạp chí"
"85","지갑","cái ví"
"86","N 주세요","đưa cho cái gì đó"
"87","N 좀 주세요","đưa cho cái gì đó (lịch sự)"
"88","여기 있어요","có đây này"
"89","잘 모르겠어요","tôi cũng không biết nữa"
"90","N1 하고 N2","và (dùng trong văn viết)"
"91","와/과","và"
"92","콜라","Coca"
"93","주스","nước ép"
"94","물","nước"
"95","교통카드","thẻ giao thông"
"96","휴지","khăn giấy"
"97","어서 오세요","xin mời vào"
"98","사과","trái táo"
"99","오렌지","trái cam"
"100","영화","phim (lẻ)"
"101","텔레비전","tivi"
"102","도서관","thư viện"
"103","학교","trường học"
"104","집","nhà"
"105","식당","nhà hàng"
"106","회사","công ty"
"107","시장","chợ"
"108","공원","công viên"
"109","커피숍","quán cafe"
"110","극장","rạp chiếu phim"
"111","겅화","sữa"
"112","바나나","chuối"
"113","딸기","dâu tây"
"114","백화점","trung tâm thương mại"
"115","어제","hôm qua"
"116","카드","cards"
"117","선물","quà"
"118","세수하다","rửa mặt"
"119","이를 닦다","đánh răng"
"120","배우다","học"
"121","역","ga"
"122","산책하다","đi dạo"
"123","찍다","chụp hình"
"124","누구","ai (who?)"
"125","혼자","một mình"
"126","동료","đồng nghiệp"
"127","카페","quán cafe"
"128","누구하고 같이","đi với ai"
"129","이/가 끝나다","xong, kết thúc"
"130","무슨","gì"
"131","뭐","gì, cái gì"
"132","원","won (tiền Hàn)"
"133","그래서","vì vậy (so, therefore)"
"134","내일","ngày mai"
"135","지난주","tuần trước"
"136","말","cuối tuần trước"
"137","년","năm"
"138","년전","năm trước"
"139","작년 [상년]","năm ngoái"
"140","백","100"
"141","천","1000"
"142","스케줄","lịch trình (schedule)"
"143","양력 [양녁]","dương lịch"
"144","음력 [음녁]","âm lịch"
"145","설날 [서랄]","Tết âm"
"146","세배를 하다","chúc Tết"
"147","떡국","canh bánh gạo"
"148","추석","Trung thu"
"149","차례를 지내다","cúng bái tổ tiên"
"150","송편","bánh trung thu Hàn"
"151","명절","ngày lễ"
"152","이해가 자절 안 되요!","Không hiểu!"
"153","안 돼요","Không được"
"154","갈비탕","canh sườn"
"155","김치","kim chi"
"156","김치찌개","canh kim chi"
"157","냉면","mì lạnh"
"158","라면","mì tôm"
"159","미역국","canh rong biển"
"160","불고기","thịt bò xào"
"161","비빔밥","cơm trộn"
"162","샌드위치","sandwich"
"163","스파게티","mì ý"
"164","피자","pizza"
"165","햄버거","hamburger"
"166","콜","quả quýt"
"167","딸기","quả dâu tây"
"168","사과","quả táo"
"169","수박","dưa hấu"
"170","만","10 nghìn = 1 vạn"
"171","얼마예요?","bao nhiêu tiền?"
"172","V으세요","Hãy [làm gì]"
"173","세요","Hãy làm"
"174","오세요","Hãy đến!"
"175","앉다","Ngồi"
"176","여기 앉으세요","Hãy ngồi ở đây!"
"177","어서 오세요","Hãy vào/Mời vào"
"178","잠깐만","1 chút (thời gian)"
"179","기다리다","đợi, chờ"
"180","빵","bánh mì"
"181","아이스크림","kem"
"182","녹차","trà xanh"
